Instalación;Descripción:;Dpto
AB001;no se utiliza;
AD001;ABG DIGICOM;LBEL
BA504;BARNIZADORA DE TARJETAS (SPEED MASTER );TJTA
BLS01;ARMADORA DE BOLSAS;BOLS
BLS02;IMPRESION  DE BOLSAS;BOLS
BLS03;ARMADORA DE BOLSAS 2;BOLS
BLS04;NO USAR;BOLS
BLS05;PEGADORA DE MANIJAS BOLS;BOLS
BLS06;ENTORCHADORA DE HILO;BOLS
BLS07;ARMADORA DE BOLSAS III;BOLS
CL001;CALIBRACION PAPEL;CONV
CN600;CONVERTIDORA I;CONV
CN601;CONVERTIDORA II;CONV
CN602;CONVERTIDORA III;CONV
CN603;CONVERTIDORA IV;CONV
CN605;CONVERTIDORA V;CONV
CN606;CONVERTIDORA VI ( SEIS );CONV
FC001;* HARRIS 1200 - I;FORM
FC002;HARRIS 1200 - II;FORM
FC003;HARRIS 835;FORM
FC004;"HARRIS 1000 (22"")";FORM
FC005;"HARRIS 1000 (17"")";FORM
FC006;HARRIS MR 1000;FORM
FC007;STEVENS I;FORM
FC008;STEVENS II;FORM
FC009;UKITA OFFCON;FORM
FC010;HEATH 2C;LIBR
FC011;HEATH 4C;LIBR
FC012;DIDDE GLASER I;FORM
FC013;DIDDE GLASER II;FORM
FC150;COLECTORA 550 I;FORM
FC151;COLECTORA 550 II;FORM
FC152;* COLECTORA 750 I;FORM
FC153;COLECTORA 750 II;FORM
FC154;BO BUNCH ( no pertenece a valores );LIBR
FC155;HOJEADORA SHETTER BOWE;LIBR
FC156;COLECTORA 550 III ( pertenece a valores;LIBR
FC998;FERNANDO SANDOVAL;FORM
FC999;FOR PRINT;FORM
GL650;GUILLOTINA II;LIBR
GL651;GUILLOTINA III VALORES;LIBR
GL652;GUILLOTINA DE CONVERSION;CONV
IB001;No se utiliza;
IFX01;IMPRESORA FLEXO BANDA ANCHA;IFLE
IF001;AQUAFLEX 8C;LIBR
IF002;ABG DIGICOM;LBEL
IF003;AQUAFLEX 8C II;LIBR
IF004;AQUAFLEX 8C III;LIBR
IL500;SORSZ;ILIT
IL501;SPEED MASTER;ILIT
IL502;KORDS;ILIT
IL503;HALM;ILIT
IL504;SPEED MASTER 6 COLORES;ILIT
IL505;SPEED MASTER 5 COLORES;ILIT
IL506;LAMINADORA;ILIT
IVA01;IMPRESION VARIABLE PLANTA BOGOTA;IVAR
IV001;CLICK IMPRESION LASER;LIBR
IV002;CLICK IMPRESION MATRIZ;LIBR
IV003;IMPRESION KERNING;LIBR
KT001;CAPT DE TIEMPOS IMPROD.;KT01
MT001;MESA DE TERMINADOS;EMPQ
MT002;MESA DE TERMINADOS CONV;CONV
MT003;MESA DE TERMINADOS LIBR;LIBR
PALET;PALETIZADO ESTIBAS;
PCA01;PICADORA DE PAPEL VALORES I;LIBR
PLG01;TROQUELADORA -ESTAMPADORA;PLEG
PLG02;CLCK COSTO TROQUEL;PLEG
PP001;PREPRENSA LITO;PREP
PP002;PREPRENSA FLEXO;PREP
PP003;PREPRENSA LITO;PREP
REB01;REBOBINADORA;REBO
RO400;OLIMPIC I;ROLL
RO401;OLIMPIC II;ROLL
RO402;OLIMPIC III;ROLL
RO403;ROBOSUM;ROLL
RO404;BSA MINI;LIBR
RO405;OLIMPIC IV;ROLL
RO406;ROBOSUM II;ROLL
RO407;OLIMPIC V;ROLL
RO408;ROBOSUM III;ROLL
SC200;RA 800 I;SDC
SC201;RA 800 II;SDC
SC202;W + D 627;SDC
SL001;SELECCION DE CONVERSION;CONV
ST300;PHP III - 1;SOT
ST301;W+D 83;SOT
ST302;31 J;SOT
ST303;SO;SOT
ST304;MO - MP;SOT
ST305;B2S;SOT
ST306;241 GS;SOT
ST307;PHP III - 2;SOT
ST308;MO - MP II;SOT
ST309;PHP III - 3;SOT
TA001;IMPRESORA DIGITAL DE BOBINAS;ETKS
TA002;IMPRESORA DIGITAL DE HOJAS;TJTA
TA003;TROQUELADORA VARIABLE DE ETIQUETAS;ETKS
TA004;IMPRESORA SCREEN;TJTA
TA005;COLECTORA DE LAMINAS;TJTA
TA006;LAMINADORA PVC;TJTA
TA007;TROQUELADORA LAMINAS PVC - CABIDA 3;TJTA
TA008;CLICK DIGITAL BOBINAS;ETKS
TA009;CLICK DIGITAL HOJAS;TJTA
TB001;MAQUINA TAPABOCAS;TBCA
TR001;TERCEROS;TERC
VAS01;TROQUELADORA DE VASOS;VASO
VAS02;ARMADORA  DE VASOS 1;VASO
VAS03;ARMADORA  DE VASOS 2;VASO
VAS04;ARMADORA  DE VASOS 3;VASO
VAS05;MAQUINA DE TAPAS VASOS;VASO
VAS06;ARMADORA DE VASOS 4;VASO
